abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
Bde.	4		2	0	2	,2009.</ls> <ls>R. GORR. 2,38</ls>, v. l. im 3ten Bde. Im sg. {%König der%} <is>Kekaya</is> <ls>BHĀG. P.	. 1,1,">50.</ls> <ls n="P.">6,1,131</ls> (im 2ten Bde.). <ls>SĀṂKHYAK. 42.</ls> <ls>MADHUS.</ls> in <ls>	
Beispp.	7		2	0	2	vilasinInAm#} <ls>BHARTṚ. 1,18.</ls> In den folg. Beispp. bed. {#u#} {%dagegen%} (vgl. 4): {#devarAjamapi k	#}), {%verletzen.%} {#carcita#} hat in den folgg. Beispp. die Bed. {%mit einem Ueberzug von Etwas%} (geht i	
Besond.	7		2	0	2	H. BṚH. S. 24,20.</ls> <ls>KATHĀS. 14,16.</ls> Im Besond. <div n="3"> α) {#paYca janAH#} {%die fünf Mensche	 2) {%an's Ende gelangen, Etwas durchmachen%}; im Besond. {%zurücklegen%} (einen Weg), {%durchleben%} (eine	
Compar.	7		2	0	2	ara = vyAptatara#} {%zugänglicher, annehmbarer.%} Compar. von einem nicht erhaltenen pos., der wohl zu 1. {	 yAtrAyAM paTi nidrAyAM mahacCabdo na dIyate ..#} Compar. {#mahattara#} s. bes.; superl. {#mahattama#} {%üb	
Corigg.	7		2	0	2	> <ls>VIKR. 147.</ls> <ls>RAGH. 13,22</ls> (s. d. Corigg.). <ls>BHĀG. P. 10,89,5.</ls> {#˚rabDa#} mit pass.	lex> {#A = malI#} (?) <ls>TRIK.</ls> (so nach den Corigg. zu lesen) und <ls>MED.</ls> = {#tUlikA#} <ls>H. a	
Das.	4		2	0	2	in {#aBilAzin#}¦ (wie eben) <lex>adj.</lex> dass. Das. obj. im loc.: {#asyAmaBilAzi me manaH#} <ls>ŚĀK. 	> <div n="v">— Vgl. {#uttarApaTa, uttarAsad#} . — Das. <lex>f.</lex> {#uttarA#} s. u. {#uttara#} . <LEND	
Eig.	4		2	0	2	vA#}) <lex>n.</lex> {%Messing%} <ls>H. 1049.</ls> Eig. {%den Namen eines%} <is>Asura</is> {%führend%}, w	 des Festmachens%} <ls>SUŚR. 1,202,21.</ls> {%die Eig. des Kräftigens, Befestigens%}: {#bfhattvAdbfMhaRa	
Es.	3	Y	2	0	2	AT. 174,15.</ls> <ls>Verz. d. B. H. No. 904.</ls> Es. werden derer im <ls>ŚKDR.</ls> nach dem <ls>PRAYO	 ({#SyAvaH praRetA Buvat#}) <ls>ṚV. 8,19,37.</ls> Es. liessen sich gen. du. annehmen von {#prayI#} und 	
Fut.	4		2	0	2	a#} <ls>MBH. 1,8173.</ls> Ueber dieses Participal-Fut., das in der Regel in den ersten und zweiten Perso	} (sc. {#viBakti#}) Bez. {%des Charakters des als Fut. fungirenden Nom.%} ag. ({#tar#}) <ls>KĀTANTRA 3,1	
Hem.	4		2	0	2	1">— 2) <lex>f.</lex> {#A#} {%ein best. Metrum%}, Hem. 1 und 3: ⏑ ⏑ ⏑ ⏑ ⏑ ⏑ – ⏑ – ⏑ – –, Hem. 2 und 4: ⏑	 Metrum%}, Hem. 1 und 3: ⏑ ⏑ ⏑ ⏑ ⏑ ⏑ – ⏑ – ⏑ – –, Hem. 2 und 4: ⏑ ⏑ ⏑ ⏑ – ⏑ ⏑ – ⏑ – ⏑ – – <ls>COLEBR. Mi	
Intens.	7		2	0	2	 {#awiwizati#} <ls>P. 6,1,2</ls>, <ls>Sch.</ls> — Intens. {#awAwyate#} <ls>PAT.</ls> zu <ls>P. 3,1,22.</ls>	h {%glänzen%} (wegen {#kanaka#}) und {%gehen.%} — Intens. imperat. {#(A) cAkanDi, (A) cAkantu#} 3. pl.; pot	
Nachtrr.	8		2	0	2	> {#SAlA˚#} s. u. {#grAma#} <div n="1"> 1) in den Nachtrr. {#suhfdvarga˚#} <ls>PAÑCAT. 82,5.</ls> {#vAgAdi˚#	vasva#} (s. u. {#upADyAya#} <div n="1"> 1) in den Nachtrr.). <div n="1">— 2) <lex>f.</lex> {#A#} = 1) {%a%})	
Negat.	6		2	0	2	imu#} oder {#kutas#} {%wie viel mehr%}, mit einer Negat. {%wie viel weniger%}: {#vEklavyaM mama tAvadIdfSa	aTaMcidapyatikrAman#} <ls>M. 3,90.</ls> mit einer Negat. {%auf keine Weise, durchaus nicht%}: {#indro 'pi 	
Nomen pr.	9		2	0	2	d voll ist%} <ls>CHĀND. UP. 4,4,5.</ls> Vor einem Nomen pr. oder Appell. ({#saMjYA#}) im Vorwurf, mit dem Acc	e ein anderes Adjectiv in ein Appellativ oder ein Nomen pr. übergehen kann; <is>Vārtt</is>. 6. zu <ls>P. 2,2,	
Ortsadv.	8		2	0	2	#} <ls>PRAB. 115,13.</ls> mit dem loc. oder einem Ortsadv.: {#tvayAtra hrade BUyo nAgantavyam#} <ls>PAÑCAT. 	n="1"> 1) {%Jmd%} oder {%Etwas wohin%} (acc. oder Ortsadv.) {%gelangen lassen, treiben, führen, bringen, bef	
Patron.	7		2	0	2	ESya<k2>agnivESya {#agnivESya#}¦ ({#AgnivESya?#}) Patron. von {#agniveSa#} <ls>MADHUS.</ls> in <ls>Ind. St.	ana<k2>agnivESyAyana {#agnivESyAyana#}¦ ({#A˚?#}) Patron. von {#agnivESya#} <ls>AVAD. ŚAT.</ls> bei <ls>BUR	
Praep.	6		2	0	2	rtya\mati\ dviza^H#} <ls>ṚV. 10,126,2.</ls> Diese Praep. scheint übrigens durch das folg. {#neTa#} oder ei	cht hierher zu ziehen, da {#iz#} sonst mit dieser Praep. nicht vorkommt; und zwar <ls>ṚV. 1,184,2</ls> so 	
Suff.	5		2	0	2	k2>puzwA/vant {#puzwA/vant#}¦ (von) {#puzwa#} mit Suff. {#vant#} <lex>adj.</lex> (Vieh) {%züchtend, — pfl	ṚV. 8,">31,15.</ls> Daraus ein loc. mit doppeltem Suff.: {#pftsu/zu#} <ls n="ṚV.">1,129,4.</ls> <LEND>  <	
Synonn.	7		2	0	2	div n="1">— 2) <lex>n.</lex> {%Safran%} (wie alle Synonn. von {%Blut%}) <ls>RĀJAN.</ls> im <ls>ŚKDR.</ls> <	> <div n="1">— 3) bei den Mathematikern (wie alle Synonn. von {%Pfeil%}) {%der Sinus versus%} <ls>COLEBR. A	
Titelbl.	8		2	0	2	{#itihAsaH#} <ls>RĀJA-TAR. ed. Calc.</ls> auf dem Titelbl. {#rAjakIya#} <lex>m.</lex> so v. a. {#rAjakIyaH p	 {%Chronik%} <ls>RĀJA-TAR. ed. Calc.</ls> auf dem Titelbl., {#˚yatAMkA#} (welches <ls>AUFRECHT</ls> in {#˚pa	
V. l.	5		2	0	2	e#} {%verletzen, tödten%} <ls>DHĀTUP. 33,12.</ls> V. l. : {#hizk, hikk#} . <LEND>  <L>17320<pc>2-0295<k1>	}). <div n="1">— 4) {%Kissen%} <ls>MED. k. 184. — V. l.</ls> {#KurAlika#} <ls>ŚKDR.</ls> <LEND>  <L>21011	
Verf.	5		2	0	2	0.</ls> <ls>SĀV. 2,17.</ls> <ls>HARIV. 1677.</ls> Verf. von <ls>ṚV. 10,12,28</ls> <ls>Ind. St. 1,214.</ls	s>H. an. 2,518.</ls> <ls>MED. v. 5</ls>), der als Verf. mehrerer <ls>ṚV.</ls> Lieder gilt. Er wird als ei	
Vollst.	7		2	0	2	lider%} <ls>SUŚR. 1,298,16. 2,123,17. 306,7.</ls> Vollst. {#kumBIkapiqakA#} <ls n="SUŚR.">308,9.</ls> <div 	tAram#} soll nach <ls>BENFEY</ls> (<ls n="BENFEY">Vollst. Gr. 315, Anm. 1</ls>) <ls>MBH. 3,10304</ls> vorko	
Zusammenss.	11		2	0	2	t, Sas#} u. s. w. und die mit {#api#} anlautenden Zusammenss. Der Anlaut dieses {#api#} fällt nicht selten ab, 	 anzutreffen; vgl. weiter u. die mit {#uBA#} anl. Zusammenss. <LEND>  <L>12371<pc>1-0994<k1>uBaya<k2>uBa/ya {#u	
abgiebt.	8		2	0	2	t und kein richtiges Correlat zu {#puYjikasTalA#} abgiebt. <ls>VP. 233</ls> erscheint gleichfalls die Form {	= {#pAradArika#} {%der sich mit fremden Ehefrauen abgiebt.%} <div n="1">— 2) <lex>n.</lex> = {#kzetrajataRa#	
adv. compp.	11		2	0	2	 mit dem Nebenbegriff des Untergeordnetseins); in adv. compp.: {#upakumBaM paSya, upakumBaM tizWati#} <ls>P. 2,	. z. B. {#durupasarpin)#}.{# duz#} am Anfange von adv. compp. <ls>P. 2,1,6</ls>, <ls>Sch.</ls> <LEND>  <L>33918	
allg.	5		2	0	2	>m.</lex> {%der Baum der Götter%}: <div n="1"> 1) allg. N. für den <is>Mandāra</is> und andere fabelhafte	,1,63.</ls> Vgl. {#DAraRI#} . <div n="3">— β) pl. allg. N. für {%die 14 Götterweiber%}: {#SacI vanaspatI 	
appellat.	9		2	0	2	(An beiden Stellen liesse sich aber das Wort auch appellat. fassen, in der zweiten namentlich auf <is>Indra</	er <is>Lakṣmī</is>, {%der Glücksgöttin%}; auch in appellat. Bed. {%Glück, Reichthum%} <ls>AK. 1,1,1,23.</ls> 	
astronom.	9		2	0	2	astronomical science%} <ls>WILS.</ls> Titel eines astronom. Werkes ({#jyotirgranTaviSeza#}) <ls>ŚABDAR.</ls> 	}¦ ({#graha + lAGava#}) <lex>n.</lex> Titel eines astronom. Werkes aus dem 16ten Jahrh. <ls>COLEBR. Misc. Ess	
aufgef.	7		2	0	2	YOP. 45.</ls> <ls>HIT. Pr. 32.</ls> An allen eben aufgef. Stellen steht {#atandrita#} im nom., als nähere B	cc. sg. neutr. von {#eta#}, erscheint aber in der aufgef. Form auch am Anf. eines comp. und in den derivv. 	
ausgez.	7		2	0	2	</is>, welcher gewöhnlich [Page1-1060] {#fBu#} im ausgez. Sinne heisst, und die <is>Ṛbhu</is> überhaupt: {#	ls> <div n="2">— b) {%die%} <is>Gāyatrī</is> {%im ausgez. Sinne, der an%} <is>Savitar</is> {%gerichtete Ver	
besond.	7		2	0	2	,">124,2.</ls> <ls>KENOP. 2.</ls> <div n="1">— 3) besond. Erwähnung verdient der Gebrauch von {#u#} <div n=	 + go˚#}) <lex>m.</lex> {%Kleiderverwahrer%} (ein besond. Amt) <ls>VYUTP. 210.</ls> <LEND>  <L>25703<pc>2-1	
bisw.	5		2	0	2	; IkzAM cakre; Ikzya#} ger.; {#Ikzitum; Ikzita#}; bisw. auch act. <div n="1"> 1) {%sehen, blicken, hinbli	<h>1 1. {#cal#}¦, {#ca/lati#} (in gebundener Rede bisw. auch {#˚te); calizyatiH acAlIt#}; <div n="1"> 1) 	
corrigg.	8		2	0	2	> {%unbemittelt, arm%} <ls>AK. 3,4,179</ls> (vgl. corrigg.). <ls>N. 17,43</ls> (Gegens. {#samfdDa#}). <ls>R.	<ls n="MBH.">13,216.</ls> <ls>R. 1,34,37</ls> (s. corrigg.). <ls>PAÑCAT. 244,22.</ls> <ls>RĀJA-TAR. 4,135.</	
dazw.	5		2	0	2	>51,41.</ls> <ls>N. 13,40.</ls> {#na — na — na#} (dazw. das Negirte) {#api vA#} <ls>R. 1,6,10.</ls> = {#n	#na#} (dazwischen das Neg.) {#ca — api ca taTA#} (dazw. das Neg.) {#na#} <ls>N. 8,16.</ls> Ueber die Verb	
dd. Ww.	7		2	0	2	s {%ein berauschendes Getränk%} aufgeführt; s. u. dd. Ww.) <ls>SUŚR. 1,190,8.</ls> <ls>R. 5,12,42.</ls> {#S	/ls> Am Ende eines comp.: {#tulya˚, sama˚#} s. u. dd. Ww. {#deva˚#} {%die Götter sehend%} so v. a. {%besuch	
declin.	7		2	0	2	˚#}) <lex>adj.</lex> theils stark, theils schwach declin.; häufig die <lex>m.</lex> — Form bei <lex>f.</lex	in. <is>Śiva's</is> <ls>H. 197.</ls> beide Theile declin.: {#ahaye buDnAya#} <ls>Sch.</ls> {#ahirbuDnadevat	
denomm.	7		2	0	2	UP. 10,32.</ls> {#galBate#} und {#galBAyate#} als denomm. von {#galBa#} <ls>VOP. 21,7.</ls> — Wohl verwandt	tas#} <ls>ṚV. 1,148,3.</ls> Diese Formen sind als denomm. aufzufassen und verhalten sich zu {#graB#} wie {#	
etymol.	7		2	0	2	1,1,11</ls> (wo scheinbar <lex>m.</lex> wegen des etymol. Spiels mit {#aSva#}). <ls n="ŚAT. BR. 6,1,">2,2.<	#} oder vielmehr der reduplic. Form {#dad#}; also etymol. richtiger {#dattra#}) <lex>n.</lex> {%Gabe, Spend	
folg. Ww.	9		2	0	2	AIGH. 2,14</ls>; wahrscheinlich zur Erklärung der folg. Ww. erfunden. <LEND>  <L>1636<pc>1-0118<k1>aTarya<k2>	 Stadt <ls>P. 2,4,7</ls>, <ls>Sch.</ls>; vgl. die folg. Ww. <LEND>  <L>27311<pc>3-0087<k1>jAmbavaka<k2>jA/mba	
folgg. Ww.	10		2	0	2	tischen Kategorie angepasster Naturlaut. Vgl. die folgg. Ww. <LEND>  <L>5295<pc>1-0386<k1>ambAqA<k2>ambAqA {#a	eich%} <ls>TRIK. 3,2,4.</ls> <div n="v">— Vgl. d. folgg. Ww. <LEND>  <L>7301<pc>1-0546<k1>asadgrahin<k2>asadgr	
geogr.	6		2	0	2	>kfzRavellUra {#kfzRavellUra#}¦ ({#kfzRa + ve˚#}) geogr. <ls>VARĀH. BṚH. S. 14,14</ls> in <ls>Verz. d. B. 	 Wegemaass von vier%} <is>Krośa</is> (etwa {%zwei geogr. Meilen%}; nach anderen Rechnungen eine kleinere S	
ident.	6		2	0	2	e Hirschart%} (= {#mfga#} <ls>ŚABDAR.</ls>), wohl ident. mit den {#pfzatyas#} der <is>Marut</is>: {#maho^B	>). <div n="2">— n) N. pr. eines <is>Daitya</is> (ident. mit <is>Candravarman</is>, König der <is>Kāmboja<	
imp.	4		2	0	2	P.">26,63</ls> : {#aButsat, boDizat, buboDas#},2. imp. {#bo/Di#} (von den Comm. öfters = {#Bava#} gefass	KH. ŚR.</ls>; infin. {#pra/vantave; vanvatAm#} 3. imp. falsche Form (st. {#manutAm#} des <ls>ṚV.</ls>). 	
incl.	5		2	0	2	>d. i.</ab> {%wenn die Planeten%} (Sonne und Mond incl.) {%promiscue in den 4%} <is>Kendra</is> {%stehen%	d. i.</ab> {%wenn alle Planeten%} (Sonne und Mond incl.) {%in den Häusern 4, 5, 6, 7, 8, 9 und 10 stehen%	
indic.	6		2	0	2	yAni#}, dabei soll aber {#kfRuhi#} im Sinne eines indic. gefasst werden; nach <ls>MAHĪDH.</ls> zu <ls>VS. 	iBAzaTAH#} <ls>R. 2,9,19.</ls> Bisweilen mit aor. indic.: {#tanme mA vyanaSat#} <ls>KAUŚ. 56.</ls> {#mA va	
insens.	7		2	0	2	IrumaBAyayat#} <ls>BHAṬṬ. 5,41.</ls> <div n="p">— insens. {#beBIyate#} <ls>P. 6,4,115</ls>, <ls>Sch.</ls> <	. 18,1. v. l.</ls> (fälschlich {#vyasIsahat#}). — insens. s. {#vizAsahi#} . <div n="p">— {#sam#} <div n="1"	
instrr.	7		2	0	2	^Bi\H saKi^Bi\H saKA\ san . f\gmiBi^rf\gmI#} (die instrr. bezeichnen die <is>Marut's</is>) <ls n="ṚV.">1,10	vertraut mit%} <ls>MBH. 1,7107</ls> (daneben zwei instrr. {#vidyayA#} und {#balena#}, zu denen {#saMpannaH#	
met.	4		2	0	2	DarcAdi#} . <div n="1"> 1) {%Angesicht%} eig. und met.: {#sTi\rA DanvA\nyAyu^DA\ raTe^zu vo 'nI^ke\zvaDi	</is> des <ls>ṚV.</ls> ist dem <is>Soma</is> gewidmet. {#suta#} <ls>ṚV. 3,35,5.</ls> {#suzuta#} <ls n="Ṛ	
myth.	5		2	0	2	 ka\vayo 'pra^mAdam#} <ls>AV. 13,1,23.</ls> — Ein myth. <is>Ṛṣi</is>, der den <is>Viśvakarman</is> <is>Bh	 <div n="2"> a) in Verb. mit {#astra#} Bez. eines myth. {%Wurfgeschosses%} <ls>R. 1,29,12.</ls> <ls n="R.	
mythol.	7		2	0	2	gl. Spr. 1,513. fgg.</ls> <div n="1">— 2) aus der mythol. Bed. haben sich die folgenden entwickelt: <div n=	/ls> {#jyezWalakzmI/#} <ls>TBR. 2,1,2,2</ls>; die mythol. Erklärung s. im Comm. zu d. St. und vgl. {#jyezWa	
nachf.	6		2	0	2	 <div n="2">— b) mit dem gen. <ls>VOP. 5,23.</ls> nachf.: {#tayoraDaH#} <ls>M. 2,59.</ls> <ls>ŚĀK. 14.</ls	s n="R.">2,67,6.</ls> <ls>KUMĀRAS. 4,43.</ls> mit nachf. {#api#} s. u. {#api#} 9. Im comp. selten anzutref	
nom. abst.	10		2	0	2	d. orn. 41,23.</ls> {#˚pUrvakatva#} <lex>n.</lex> nom. abst. <ls>NĪLAK. 65.</ls> <LEND>  <L>52909<pc>5-0101<k1	%ohne Casusendung%}; davon {#˚tva#} <lex>n.</lex> nom. abst. <ls>PAT. a. a. O. 6 (4),2,a.</ls> <LEND>  <L>1221	
nom. card.	10		2	0	2	ls>TRIK. 3,3,232.</ls> <ls>H. 531.</ls> vor einem nom. card.: {#arDaSata#} {%150%} <ls>M. 8,267.</ls> <ls n="M	>avattin {#avattin#}¦ (von {#avatta#}) nach einem nom. card. {%in so und so viele Theile zertheilend%}: {#catu	
nom. gent.	10		2	0	2	404<k1>tozala<k2>tozala {#tozala#}¦ <lex>m.</lex> nom. gent. <ls>HARIV. 4736.</ls> {#tozalaka#} <ls n="HARIV."	405<k1>tosala<k2>tosala {#tosala#}¦ <lex>m.</lex> nom. gent. <ls>AV. PARIŚ.</ls> in <ls>Verz. d. B. H. 93.</ls	
obl.	4		2	0	2	tt der erstarrte nom. auch die Stelle eines casus obl.: {#tayoradfzwakAmo 'BUt — anyo'nyaM prati#} <ls>N	 in näherer Beziehung zum nom., als zu einem cas. obl. im Satze, der bisweilen auch zu ergänzen ist: {#e	
opt.	4		2	0	2	="1">— 3) {%ut, auf dass, damit, (so) dass%}; mit opt. und conj., später auch fut., praes., imperf., per	YĀJÑ. 1,283.</ls> [Page7-1634] der ungrammatische opt. {#hunet#} <ls>PAÑCAR. 3,14,3.</ls> <ls n="PAÑCAR.	
poet.	5		2	0	2	 rasa#}) <lex>m.</lex> {%der Ur-Grundton%} (einer poet. Darstellung): {#˚Sloka#} N. eines dem <is>Kālidās	ra#}¦ <div n="1"> 1) <lex>m.</lex> <div n="2"> a) poet. Bez. {%des Pferdes (Reis-, Fruchtopfer empfangend	
precat.	7		2	0	2	oti#} <ls>ŚĀṄKH. ŚR. 16,15,5.</ls> im imperf. und precat. ved.: {#aByutsAdayAmakaH, prajanayAmakaH, cikayAm	tamam#} <ls>MBH. 8,2353.</ls> <div n="1">— 4) mit precat.: {#mAsya Darme mano BUyAt#} <ls>R. ed. Bomb. 2,75	
relig.	6		2	0	2	Unreincheit%}: {#strIRAm#} <ls>VET. 21,9.</ls> in relig. Sinne <ls>M. 11,183.</ls> <LEND>  <L>6952<pc>1-05	x>n.</lex> <ls>P. 7,3,30.</ls> {%Unreinheit%} (in relig. Sinn): {#daSAhaM SAvamASOcaM sapiRqezu viDIyate#}	
substt.	7		2	0	2	</ls> <ls n="ṚV. 9,97,">40.</ls> eines der beiden substt. zu ergänzen <ls n="ṚV. 9,">98,3.</ls> <ls n="ṚV. 	x> {%worin alle drei Geschlechter eingehen%}; von substt., welche sowohl in einem attribut. als auch in ein	
syn.	4		2	0	2	, Weltseele, Allgeist%} ({#paramAtman#} u. s. w., syn. mit {#puruza#}) <ls>AK. 3,4,112.</ls> <ls>H. an. 	 {%die fruchtbare%} (eig. {%tüchtige) Milchkuh%}, syn. mit {#Denu#}.{# indro\ Bago^ vAja\dA a^sya\ gAva\	
tautol.	7		2	0	2	. 1,2,8.</ls> {#tato na SabdamAtrAdeva kevalaM#} (tautol.) {#Betavyam#} <ls>PAÑCAT. 20,9.</ls> {#na kevalam	H. S. 53,47.</ls> <div n="2">— f) steht bisweilen tautol.: {#apakfzwaja#} {%von niedrig Stehenden geboren%}	
term.	5		2	0	2	antaracakra#}¦ ({#antara + cakra#}) <lex>n.</lex> term. techn. bei der Beobachtung des Vogelfluges <ls>VA	rdaSA#}¦ ({#antar + daSA#}) <lex>f.</lex> astrol. term.: {#daSAntardaSAviBAgADyAya#} <ls>VARĀH. L. JĀT. 7	
trop.	5		2	0	2	kfzyamARAni mahABrARi#} <ls n="R. 5,36,">15.</ls> trop.: {#mamEvAMSo jIvaloke jIvaBUtaH sanAtanaH . manaH	en, leuchten%}; vorzugsweise vom Feuer gebraucht; trop. {%hervorleuchten, sich bemerklich machen%}: {#a\g	
ungedr.	7		2	0	2	Utre#} <ls>DEVA</ls> zu <ls>KĀTY. ŚR. 25,10</ls> (ungedr.). <LEND>  <L>69053<pc>5-1223<k1>Etiha<k2>Etiha {#	i#} <ls>Schol.</ls> zu <ls>KĀTY. ŚR. 16,1,4</ls> (ungedr.). <ls>PAÑCAR. 3,7,17</ls> ist {#tadanu yajecca#} 	
ungrammat.	10		2	0	2	1>apsumant<k2>apsumant<h>1 1. {#apsumant#}¦ (eine ungrammat. Bildung von {#apsu#}) <lex>adj.</lex> <ls>P. 6,3,	ASitaMgavIna<k2>ASitaMgavI/na {#ASitaMgavI/na#}¦ (ungrammat. Bild. von {#ASita + go#}) <lex>adj.</lex> {%wo fr	
unpers.	7		2	0	2	d%} (gen.) {%kommen%} (von einem Unwohlsein) oder unpers. {%es wird Jmd%} (gen.) {%unwohl%}: {#sa kiM ma et	HĀND. UP. 3,16,7.</ls> {#yadi dIkzitasyopatapet#} unpers. <ls>ŚAT. BR. 12,3,5,2.</ls> Auch mit dem acc. der	
viz.	4		2	0	2	hich, though it etymologically means an absurdity viz. a mendicant, or one not a Brāhman, who is a Brāhm	scus in which the blood is contained or secreted, viz. the heart, the liver, and the spleen%} <ls>WILSON	
voran.	6		2	0	2	#unmattamUkajaqavat#}) geht {#mUka#} dem {#jaqa#} voran. Vgl. {#kaqa#} . <div n="1">— 2) <lex>m.</lex> {%d	ex>adj.</lex> comp. geht das Zahlwort regelmässig voran. — Am Ende eines <lex>adj.</lex> comp. (f. {#A): v	
vorhergeh. Ww.	14		2	0	2	IX, N. 6. XXIV. XXXII.</ls> <div n="v">— Vgl. die vorhergeh. Ww. <LEND>  <L>5503<pc>1-0397<k1>ayutASva<k2>ayutASva	> <ls>LIA. I, Anh. IX.</ls> <div n="v">— Vgl. die vorhergeh. Ww. <LEND>  <L>5504<pc>1-0397<k1>ayudDa<k2>a/yudDa {#	
vv. ll.	7		2	0	2	dEH saha#} <ls>PĀR. GṚHY. 3,4</ls>; vgl. aber die vv. ll. in <ls>AV. 3,12,7.</ls> <ls>ĀŚV. GṚHY. 2,8.</ls> 	kA<k2>BizmikA {#BizmikA#}¦, {#BizmiwA, BizmizwA#} vv. ll. für {#BissawA#} <ls>AK. 2,9,49.</ls> <LEND>  <L>5	
weibl.	6		2	0	2	er arbeitenden Finger und Hände%}, die auch sonst weibl. personificirt werden. {#tamI^M (somaM) hinvantya\	>A/ruRI {#A/ruRI#}¦ <lex>f.</lex> {%röthliches%} (weibl. Thier), vom Gespann der <is>Marut</is>: {#yadAru^	
Abschn.	7		1	0	1	11.</ls> <div n="1">— 2) <lex>n.</lex> Bez. eines Abschn. der <ls>TS.</ls> <ls>Ind. St. 3,381. 389.</ls> <L		
Adj. compp.	11		1	0	1	mApyantaM na gacCati ..#} <ls>VET. 3,10. 11.</ls> Adj. compp. auf {#karRa#} sind paroxytona, wenn das vorangehe		
Adnott.	7		1	0	1	ṣṇa's</is> {%Gestalt%} <ls>BHAG. 11,11</ls> (vgl. Adnott.). {#evaM sa BagavAndevaH#} (von <is>Manu</is>) <l		
Allgem.	7		1	0	1	</ls> <ls>VP. 42.</ls> <ls>BHĀG. P. 3,12,45.</ls> Allgem. Bez. für {%jedes aus 4 x 12 Silben bestehende Met		
Annott.	7		1	0	1	vinASa˚#} {%vergänglich%} <ls>RAGH. 8,10</ls> (s. Annott.). <ls>PRAB. 111,17.</ls> {#jarAmaraRa˚#} <ls n="P		
Ant.	4		1	0	1	ŚKDR.</ls> {#vellikA#} <ls>WILSON</ls> nach ders. Ant.; vgl. u. {#vellaka#} . <LEND>  <L>95496<pc>6-1376		
Aor.	4		1	0	1	endungen der augmentirten Verbalformen%} (Imperf. Aor. Condit.) <ls>KĀTANTRA 3,1,14.</ls> <LEND>  <L>121		
Appos.	6		1	0	1	tasminnavasTAntare#} <ls>AMAR. 20.</ls> Folgt als Appos.: {#avidyAyAmantare vartamAnAH#} <ls>KAṬHOP. 2,5.<		
Ausdr.	6		1	0	1	izu)#} <lex>adj.</lex> {%dessen Pfeil schwankt%}, Ausdr. des Tadels <ls>P. 6,2,108</ls>, <ls>Sch.</ls> <LE		
Ausl.	5		1	0	1	 {#kzemAPalA#}¦ ({#kzema + Pala#} mit Dehnung des Ausl.) <lex>f.</lex> {%Ficus oppositifolia%} (s. {#udum		
Ausn.	5		1	0	1	zeigt das Wort stets getrennt vom Zahlworte (eine Ausn. s. unter {#azwakftvas#}) und betont dasselbe auf 		
Beim.	5		1	0	1	AlI#}) {%in den Opferlöffel übergeschöpft wird.%} Beim. <is>Gṛhya</is> — Opfer dient er auch zu der Spend		
Beis.	5		1	0	1	G. P. 9,22,30.</ls> <div n="2">— n) mit oder ohne Beis. von {#gaNgA#} N. eines Flusses <ls>LIA. I,50. 56.		
Beisatz.	8		1	0	1	</ls> <ls n="ṚV. 9,">89,4</ls>) als {#jAmi#} ohne Beisatz. Vgl. {#pitA janitA, mAtA janitrI#} . subst. {%Ges		
Bemerk.	7		1	0	1	.">29.</ls> {#karRe#} {%in's Ohr%} (als scenische Bemerk.) <ls>MṚCCH. 63,20.</ls> {#cewyAH karRe#} <ls n="M		
Berl. Mpt	9		1	0	1	. 1,350,10. 345,16. 346,9.</ls> {#bfhatIdvayam#} (Berl. Mpt) <ls n="SUŚR.">356,15.</ls> <div n="2">— d) {%Ueb		
Capp.	5		1	0	1	8,16.</ls> ein Beiw. des R. in den Unterschr. der Capp.; vgl. <ls n="R.">6,102,34.</ls> {#ArzADyAya#} <ls		
Casusverh.	10		1	0	1	>— 6) {#upakfta#} am Ende eines comp. in gleichem Casusverh. mit dem vorang. Worte <is>gaṇa</is> {#kftAdi#} zu		
Char.	5		1	0	1	 {#svargaM lokaM samaSnuvizyAmahe#} (fut. mit dem Char. des praes.) <ls n="ŚAT. BR.">3,4,3,8.</ls> {#brah		
Comment.	8		1	0	1	chtet der Uebereinstimmung der Handschrr. und des Comment. augenscheinliche Verderbniss aus {#samvintsva#} v		
Commentat.	10		1	0	1	uty%} <ls>WILS.</ls> <div n="2">— i) N. pr. eines Commentat. <ls>MAHĪDH.</ls> zu <ls>VS. 17,54.</ls> <ls>Ind. 		
Condit.	7		1	0	1	gen der augmentirten Verbalformen%} (Imperf. Aor. Condit.) <ls>KĀTANTRA 3,1,14.</ls> <LEND>  <L>121395<pc>7		
Conjj.	6		1	0	1	i ci^dva\DAt#} <ls n="ṚV.">10,25,3.</ls> Nach den Conjj. {#yad, yaTA#} {%wenn ja, wie ja%}: {#yacci\dDi Sa		
Conjug.	7		1	0	1	#vevIte#} (= {#vI)#} ved. <ls>DHĀTUP. 24,69.</ls> Conjug. <ls>P. 6,1,6.</ls> <ls n="P.">7,4,53.</ls> <ls>PA		
Correlat.	9		1	0	1	 Beleg aus dem Epos. <div n="1">— 2) {%dann%} (in Correlat. mit {#yarhi#}): {#so^' smAde\tarhi^ ti\ra i^va\ y		
Corrig.	7		1	0	1	s>AK. 3,4,28,218.</ls> <ls>TRIK. 3,3,207</ls> (s. Corrig.). <ls>H. an.</ls> Wird vom <ls>Schol.</ls> zu <ls		
