vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	309	2	12	83	92	29b		29	b	29b
I	310	2	12	93	101	30a		30	a	30a
I	311	2	12	102	106	30b		30	b	30b
I	312	2	12	107	112	31a		31	a	31a
I	313	2	13	1	10	31b		31	b	31b
I	314	2	13	11	19	32a	hole in the page center	32	a	32a
I	315	2	13	20	26	32b	hole in the page center	32	b	32b
I	315	2	14	1	1	32b				32b
I	316	2	14	2	11	33a		33	a	33a
I	317	2	14	12	18	33b		33	b	33b
I	318	2	14	19	28	34a		34	a	34a
I	319	2	14	29	41	34b		34	b	34b
I	320	2	14	42	51	35a		35	a	35a
I	321	2	14	52	63	35b		35	b	35b
I	322	2	14	64	67	36a		36	a	36a
I	322	2	15	1	5	36a				36a
I	323	2	15	6	17	36b		36	b	36b
I	324	2	15	18	29	37a		37	a	37a
I	325	2	15	30	40	37b		37	b	37b
I	326	2	15	41	48	38a		38	a	38a
I	327	2	16	1	13	38b		38	b	38b
I	328	2	16	14	23	39a		39	a	39a
I	329	2	16	24	28	39b		39	b	39b
I	330	2	16	29	39	40a		40	a	40a
I	331	2	16	40	46	40b		40	b	40b
I	331	2	17	1	2	40b				40b
I	332	2	17	3	13	41a		41	a	41a
I	333	2	17	14	22	41b		41	b	41b
I	334	2	18	1	12	42a		42	a	42a
I	335	2	18	13	23	42b		42	b	42b
I	336	2	18	24	33	43a		43	a	43a
I	337	2	18	34	41	43b		43	b	43b
I	337	2	19	1	4	43b				43b
I	338	2	19	5	15	44a		44	a	44a
I	339	2	19	16	25	44b		44	b	44b
I	340	2	19	26	34	45a		45	a	45a
I	341	2	19	35	40	45b		45	b	45b
I	341	2	20	1	2	45b				45b
I	342	2	20	3	15	46a		46	a	46a
I	343	2	20	16	26	46b		46	b	46b
I	344	2	20	27	37	47a		47	a	47a
I	345	2	20	38	44	47b		47	b	47b
I	346	2	20	45	50	48a		48	a	48a
I	347	2	20	51	55	48b		48	b	48b
I	347	2	21	1	2	48b				48b
I	348	2	21	3	11	49a		49	a	49a
I	349	2	21	12	21	49b		49	b	49b
I	350	2	21	22	30	50a		50	a	50a
I	351	2	21	31	40	50b		50	b	50b
I	352	2	21	41	51	51a		51	a	51a
I	353	2	21	52	57	51b		51	b	51b
I	354	2	21	58	63	52a		52	a	52a
I	355	2	21	64	64	52b		52	b	52b
I	355	2	22	1	6	52b				52b
I	356	2	22	7	14	53a		53	a	53a
I	357	2	22	15	20	53b		53	b	53b
I	358	2	22	21	27	54a		54	a	54a
I	359	2	22	28	30	54b		54	b	54b
I	359	2	23	1	4	54b				54b
I	360	2	23	5	8	55a		55	a	55a
I	361	2	23	9	14	55b		55	b	55b
I	362	2	23	15	22	56a		56	a	56a
I	363	2	23	23	29	56b		56	b	56b
I	364	2	23	30	38	57a		57	a	57a
I	365	2	23	39	42	57b		57	b	57b
I	365	2	24	1	4	57b				57b
I	366	2	24	5	14	58a		58	a	58a
I	367	2	24	15	24	58b		58	b	58b
I	368	2	24	25	34	59a		59	a	59a
I	369	2	24	35	38	59b		59	b	59b
I	369	2	25	1	6	59b				59b
I	370	2	25	7	19	60a		60	a	60a
I	371	2	25	20	31	60b		60	b	60b
I	372	2	25	32	42	61a		61	a	61a
I	373	2	25	43	45	61b		61	b	61b
I	373	2	26	1	7	61b				61b
I	374	2	26	8	17	62a		62	a	62a
I	375	2	26	18	26	62b		62	b	62b
I	376	2	26	27	38	63a		63	a	63a
I	377	2	27	1	7	63b		63	b	63b
I	378	2	27	8	14	64a		64	a	64a
I	379	2	27	15	23	64b		64	b	64b
I	380	2	27	24	24	65a		65	a	65a
I	380	2	28	1	8	65a				65a
I	381	2	28	9	20	65b		65	b	65b
I	382	2	28	21	26	66a		66	a	66a
I	382	2	29	1	4	66a				66a
I	383	2	29	5	11	66b		66	b	66b
I	384	2	29	12	19	67a		67	a	67a
I	385	2	29	20	24	67b		67	b	67b
I	385	2	30	1	4	67b				67b
I	386	2	30	5	14	68a		68	a	68a
I	387	2	30	15	26	68b		68	b	68b
I	388	2	30	27	34	69a		69	a	69a
I	389	2	30	35	45	69b		69	b	69b
I	390	2	30	46	46	70a		70	a	70a
I	390	2	31	1	9	70a				70a
I	391	2	31	10	20	70b		70	b	70b
I	392	2	31	21	29	71a		71	a	71a
I	393	2	31	30	37	71b		71	b	71b
I	393	2	32	1	4	71b				71b
I	394	2	32	5	16	72a		72	a	72a
I	395	2	32	17	28	72b		72	b	72b
I	396	2	32	29	37	73a		73	a	73a
I	397	2	32	38	45	73b		73	b	73b
I	398	2	32	46	46	74a		74	a	74a
I	398	2	33	1	11	74a				74a
I	399	2	33	12	22	74b		74	b	74b
I	400	2	33	23	31	75a		75	a	75a
I	400	2	34	1	1	75a				75a
I	401	2	34	2	13	75b		75	b	75b
I	402	2	34	14	24	76a		76	a	76a
I	403	2	34	25	34	76b		76	b	76b
I	404	2	34	35	44	77a		77	a	77a
I	405	2	34	45	56	77b		77	b	77b
I	406	2	34	57	61	78a		78	a	78a
I	406	2	35	1	2	78a				78a
I	407	2	35	3	14	78b		78	b	78b
I	408	2	35	15	20	79a		79	a	79a
I	409	2	35	21	29	79b		79	b	79b
I	410	2	35	30	37	80a	wrongly printed as vv.28-35	80	a	80a
I	410	2	36	1	2	80a				80a
I	411	2	36	3	14	80b		80	b	80b
I	412	2	36	15	25	81a		81	a	81a
I	413	2	36	26	33	81b		81	b	81b
I	413	2	37	1	2	81b				81b
I	414	2	37	3	13	82a		82	a	82a
I	415	2	37	14	24	82b		82	b	82b
I	416	2	37	25	33	83a		83	a	83a
I	417	2	37	34	37	83b		83	b	83b
I	417	2	38	1	4	83b				83b
I	418	2	38	5	11	84a		84	a	84a
I	419	2	38	12	15	84b		84	b	84b
I	419	2	39	1	6	84b				84b
I	420	2	39	7	18	85a		85	a	85a
I	421	2	39	19	24	85b		85	b	85b
I	422	2	39	25	35	86a		86	a	86a
I	423	2	39	36	41	86b		86	b	86b
